"","text"
"5304"," got  product delivered today     happy   sound quality  promises  hours  works comfortably   long  also love  good  sound    go   without  doubts   really liked     clear sound  "
"5305","basic handsfreeit doesnt  noise cancellation    baseonly stero sound may     extra  get  good product "
"5306","sound quality  good however   afraid  one   function   connecting multiple device  bluetooth    time   horrible  see   random person  connect   bluetooth headphone without  permission  sounds  played back  forth  multiple devices together "
"5307","ptron intunes pro wireless headphones  really amazing sounds quality well  enough loud   good bass  good looking  durable earphones better capacity  amh   work really well  use   day   single chargedand  fully charged   hours "
"5308","  features   good  work properly one   best thing  sound quality  goodvoicee quality ear fitting  cable quality   price     better earphones available  recommended  everyone must  buy  affordable price "
"5309","sound quality  good bass  good battery life  also good  product  value  money ml "
"5310","lightweight  durable quality   awesome sound quality  enhanced noise cancellation battery life  also pretty good  gets charges   hour  magnetic   easy  manage  around best companion  everyone "
"5311","best bluetooth earphone   rupees great bass metal body bluetooth connection noise cancellation   good sound quality im  happy   product "
"5312"," quality  earphone   good  connectivity   awsome   noise cancellation   looking  awsome   loved   battery backup  also good best earphone  used ever "
"5313","  honestly surprised  well  product performs    also comes  rubber fin earbuds  better fit  used    gym   stayed   time battery life   promised  approx  hours  usage time would recommend "
"5314","yesterday  got  delivery   charge full green light display  charge showing  battery  showing     issue plzz resolve  "
"5315","  looking   best earphones online    got  one sound quality   bass   good "
"5316","like "
"5317","  really awesome bluetooth earphones sound  greatbattery  goodconnectivity  also goodvalue  money "
"5318","go  itgood sound quality "
"5319","sound quality   greatthe ear plug pains   earbackup    hours  means  need  multicharge   day "
"5320","   amazing product  gives magnetic wireless earphones   price range  good quality  sound  mic "
"5321","  connected   devices    time sound  loud quality  sound  also good  price range  far  battery seem good "
"5322","disastrous battery life difficult  connect pay   get  better product "
"5323","sound quality  fantastic   buy  enjoy  experience  cant say  words "
"5324","bohot hi acha product   sounds bhi bohot acha  iska use man  woman bhi kr skte   personally try  nice looking  superb battery "
"5325"," easy  use   sound quality  goodit doesnt pain  wearing themits  working   min  see    last hin  overall   good product "
"5326","awsome    send  right side ear tips   thik    human  mistake without eartips sound quality   cant test  performance without leftside eartips "
"5327","  excellent product   sound quality  awesome   eliminates  outer noise  battery life  also good  easy  use   good  "
"5328"," like  design  sound quality  also good connectivity  battery life  also  nicegood     prices    using   month "
"5329","good   thought "
"5330"," long battery back   overall good "
"5331"," battery life  really good using    days without charging average usage  hour  day sound quality  also good "
"5332"," noise  okay   sound   small     call  cannot hear    person  speaking    battery  dead    time "
"5333","great headphones "
"5334","disappointed   performance  getting  sufficient battery backup maximum  hrs average also  turned  automatically  time "
"5335","nice pordecte "
"5336","battery life   less lasts  hours      listening speaker phone isnt loud  clear better  spend  bit   buy  decent product "
"5337"," simply awesome "
"5338","go ahead    looking   apple style ear buds  great sound qualitybtw  love  magnets    "
"5339","ok product "
"5340","sound quality  quiet goof according   cost   devicebut battery life      mark  still good  accordance   price point "
"5341","  good  value  money earphones happy  buy  "
"5342","cheap "
"5343","good quality "
"5344","soo good    satisfied sound quality  awsome "
"5345","cheap  best "
"5346","earphones working awesomesuper sound qualitybluetooth function  nicesuper material qualitysuper base "
"5347"," good   value "
"5348","length   short  battery backup  poor "
"5349","sound quality  okbattery backup  good "
"5350","awesome product amazing sound quality "
"5351","good "
"5352","cheap product  cheap quality battery back   extremely poor ear bud covers grips  also poor avoid  product "
"5353","good  calls useless  music better  get  bluetooth receiver    use existing wired headphones "
"5354"," worked nearly one month "
"5355","sound quality  good  closed rooms home  office       outdoor like bus    great "
"5356","awesome product   price "
"5357","awesome product "
"5358","good quality  battery drains fast  hrs "
"5359"," headphones  nice dont expect  much   sound quality  ok battery  average "
"5360"," battery     good "
"5361","good product  sound clarity superb "
"5362","better "
"5363","cheap quality  functionality  keep disconnecting  automatically pause "
"5364","gd one "
"5365","noise cancellation  wont working properlyn ear fitment  also  hardthat start aching  ear "
"5366","ok   price "
"5367","battery back   hour "
"5368","highly recommended "
"5369","   able  use   calls  playing video  songs   completely fine    calls "
"5370"," interested "
"5371","good product nice "
